Team,Game_ID,Home,Average Starting Field Position,Big Plays,Median Pass Yards,Median Rush Yards,Number Of Runs,Sacks,Time Of Possession,Total Points
PIT,2009091000,True,31.77777777777777,5.0,7.0,1.0,23.0,4.0,2165.0,13.0
CLE,2009091304,True,28.727272727272734,7.0,1.0,2.5,20.0,5.0,1598.0,19.0
NO,2009091307,True,29.91666666666667,8.0,8.0,4.0,35.0,0.0,2182.0,45.0
TB,2009091308,True,23.181818181818187,9.0,2.5,3.0,31.0,0.0,2012.0,21.0
HOU,2009091305,True,21.77777777777777,3.0,0.0,3.0,13.0,2.0,1274.0,6.0
IND,2009091306,True,29.0,5.0,6.0,2.5,28.0,1.0,2036.0,14.0
CIN,2009091303,True,28.0,6.0,5.5,2.0,27.0,3.0,2002.0,7.0
CAR,2009091302,True,35.15384615384616,3.0,0.0,2.0,29.0,5.0,1703.0,10.0
BAL,2009091301,True,28.181818181818187,8.0,5.5,4.0,41.0,1.0,2381.0,38.0
ATL,2009091300,True,34.57142857142857,4.0,2.5,2.5,24.0,2.0,1831.0,19.0
ARI,2009091309,True,26.58333333333333,5.0,5.0,1.0,17.0,3.0,1703.0,16.0
SEA,2009091311,True,28.200000000000003,4.0,7.0,3.0,34.0,0.0,1947.0,28.0
NYG,2009091310,True,29.66666666666667,8.0,7.0,3.0,29.0,1.0,2168.0,22.0
GB,2009091312,True,29.25,3.0,2.0,3.0,20.0,4.0,1575.0,21.0
NE,2009091400,True,30.63636363636364,4.0,6.0,3.0,23.0,1.0,2228.0,25.0
OAK,2009091401,True,30.444444444444443,6.0,0.0,4.0,32.0,1.0,,20.0
ATL,2009092000,True,33.14285714285714,7.0,7.0,3.0,37.0,0.0,1892.0,28.0
DET,2009092001,True,23.5,3.0,2.5,4.0,34.0,2.0,1825.0,13.0
WAS,2009092008,True,21.33333333333333,7.0,5.0,3.0,30.0,1.0,2093.0,9.0
TEN,2009092007,True,23.84615384615384,5.0,0.5,4.0,26.0,1.0,1557.0,31.0
PHI,2009092006,True,23.33333333333333,8.0,3.5,4.0,21.0,2.0,1769.0,22.0
NYJ,2009092005,True,30.200000000000003,4.0,2.0,3.0,29.0,2.0,1750.0,16.0
KC,2009092004,True,23.909090909090907,4.0,4.0,4.0,38.0,2.0,2319.0,10.0
JAC,2009092003,True,29.22222222222223,10.0,0.0,3.0,20.0,4.0,1719.0,17.0
GB,2009092002,True,22.700000000000003,8.0,0.0,3.0,18.0,6.0,1571.0,23.0
SF,2009092010,True,23.200000000000003,6.0,2.0,2.0,29.0,4.0,2071.0,23.0
BUF,2009092009,True,26.599999999999994,7.0,4.0,4.0,35.0,2.0,,32.0
SD,2009092013,True,26.099999999999994,10.0,1.5,2.0,21.0,2.0,1879.0,26.0
DEN,2009092012,True,19.875,10.0,0.0,3.0,36.0,0.0,1964.0,27.0
CHI,2009092011,True,28.57142857142857,3.0,6.0,2.0,17.0,1.0,1774.0,17.0
DAL,2009092014,True,24.545454545454547,9.0,0.0,3.0,29.0,0.0,1511.0,31.0
MIA,2009092100,True,23.75,9.0,5.0,3.0,49.0,2.0,2707.0,23.0
BAL,2009092700,True,22.42857142857143,8.0,6.5,3.5,28.0,1.0,1878.0,34.0
NYJ,2009092711,True,41.76923076923077,5.0,0.0,2.5,28.0,3.0,1958.0,24.0
DET,2009092702,True,16.25,9.0,4.0,4.0,36.0,2.0,2208.0,19.0
HOU,2009092703,True,28.555555555555557,11.0,5.0,3.5,22.0,2.0,1748.0,24.0
MIN,2009092704,True,33.69230769230769,6.0,0.0,2.0,27.0,2.0,1929.0,27.0
NE,2009092705,True,25.375,8.0,4.5,4.0,37.0,0.0,2389.0,26.0
TB,2009092708,True,25.0,1.0,0.0,3.0,9.0,0.0,982.0,0.0
PHI,2009092706,True,31.727272727272734,6.0,6.5,3.0,25.0,0.0,1835.0,34.0
STL,2009092707,True,22.75,4.0,1.5,3.0,33.0,1.0,1781.0,17.0
BUF,2009092709,True,19.200000000000003,2.0,0.0,4.0,21.0,4.0,1571.0,7.0
SEA,2009092710,True,26.888888888888886,7.0,3.0,2.0,28.0,3.0,1776.0,19.0
CIN,2009092701,True,25.714285714285708,5.0,2.0,2.0,19.0,2.0,1518.0,23.0
SD,2009092713,True,33.375,5.0,2.0,2.0,28.0,2.0,1653.0,22.0
OAK,2009092712,True,20.5,3.0,0.0,4.0,23.0,3.0,1414.0,3.0
ARI,2009092714,True,32.14285714285714,6.0,3.5,2.0,12.0,4.0,1698.0,10.0
DAL,2009092800,True,25.33333333333333,11.0,6.0,5.0,30.0,2.0,2224.0,19.0
CHI,2009100400,True,57.142857142857146,5.0,2.0,3.0,20.0,2.0,1400.0,48.0
CLE,2009100401,True,40.142857142857146,10.0,1.0,3.0,33.0,2.0,2335.0,20.0
HOU,2009100402,True,37.23076923076923,6.0,0.0,2.0,38.0,4.0,2053.0,29.0
IND,2009100403,True,24.625,6.0,7.0,3.0,21.0,0.0,1715.0,34.0
JAC,2009100404,True,39.25,9.0,7.0,3.0,27.0,2.0,2047.0,37.0
KC,2009100405,True,25.875,4.0,0.0,2.5,26.0,5.0,1753.0,16.0
NE,2009100406,True,29.875,5.0,4.0,2.5,28.0,3.0,2096.0,27.0
WAS,2009100407,True,26.125,5.0,0.0,4.0,32.0,3.0,1736.0,16.0
MIA,2009100408,True,35.375,5.0,2.0,3.0,44.0,6.0,2229.0,37.0
NO,2009100409,True,21.888888888888886,9.0,2.5,4.0,30.0,0.0,1959.0,22.0
DEN,2009100410,True,20.77777777777777,4.0,5.5,5.0,24.0,3.0,1613.0,17.0
SF,2009100411,True,35.77777777777777,4.0,1.0,3.0,27.0,4.0,1812.0,32.0
PIT,2009100412,True,24.299999999999997,10.0,7.0,3.0,34.0,3.0,2422.0,38.0
MIN,2009100500,True,37.875,5.0,4.5,2.0,28.0,0.0,1904.0,30.0
STL,2009101107,True,19.77777777777777,8.0,5.5,1.5,30.0,2.0,1959.0,10.0
PHI,2009101106,True,31.285714285714292,8.0,5.0,2.0,19.0,3.0,1538.0,33.0
KC,2009101104,True,33.66666666666667,4.0,1.0,2.0,29.0,4.0,2073.0,20.0
DET,2009101103,True,26.0,9.0,2.0,3.0,25.0,7.0,1955.0,19.0
CAR,2009101102,True,34.0,4.0,4.5,2.5,30.0,3.0,1877.0,20.0
BUF,2009101101,True,16.700000000000003,4.0,0.0,3.0,35.0,2.0,1887.0,3.0
NYG,2009101105,True,21.625,10.0,8.0,3.0,41.0,0.0,2164.0,44.0
BAL,2009101100,True,28.625,5.0,3.0,3.0,18.0,2.0,1541.0,13.0
SF,2009101108,True,22.818181818181813,6.0,0.0,2.0,17.0,3.0,1411.0,10.0
SEA,2009101111,True,33.22222222222223,4.0,3.0,3.0,37.0,1.0,2084.0,40.0
DEN,2009101110,True,22.299999999999997,4.0,6.0,3.0,25.0,2.0,2157.0,20.0
ARI,2009101109,True,31.0,7.0,6.0,2.0,16.0,1.0,1595.0,27.0
TEN,2009101112,True,23.454545454545453,2.0,4.0,4.5,20.0,1.0,1582.0,9.0
MIA,2009101200,True,24.125,7.0,5.0,3.5,36.0,0.0,2015.0,31.0
CIN,2009101800,True,23.200000000000003,5.0,6.0,2.0,17.0,1.0,1425.0,17.0
GB,2009101801,True,33.16666666666667,9.0,5.0,4.0,28.0,5.0,2448.0,26.0
JAC,2009101802,True,27.16666666666667,9.0,4.0,3.0,37.0,3.0,2528.0,23.0
MIN,2009101803,True,28.91666666666667,8.0,3.5,3.0,31.0,3.0,2083.0,33.0
NO,2009101804,True,31.33333333333333,11.0,9.0,3.0,39.0,1.0,2167.0,48.0
PIT,2009101805,True,20.875,13.0,7.5,4.0,33.0,3.0,2206.0,27.0
TB,2009101806,True,33.0,6.0,2.0,3.0,24.0,4.0,1659.0,20.0
WAS,2009101807,True,24.0,4.0,0.0,2.0,20.0,3.0,1370.0,6.0
OAK,2009101808,True,23.66666666666667,7.0,2.0,2.0,32.0,2.0,1982.0,13.0
SEA,2009101809,True,19.0,2.0,0.0,2.0,11.0,5.0,1033.0,3.0
NE,2009101810,True,41.0,10.0,6.0,5.0,27.0,2.0,2340.0,59.0
NYJ,2009101811,True,23.57142857142857,7.0,0.0,3.5,40.0,2.0,1993.0,13.0
ATL,2009101812,True,28.285714285714292,1.0,4.0,3.5,22.0,0.0,1559.0,21.0
SD,2009101900,True,27.545454545454547,12.0,1.5,3.0,21.0,5.0,1757.0,22.0
TB,2009102506,True,26.58333333333333,5.0,0.0,2.5,26.0,3.0,1605.0,7.0
STL,2009102505,True,26.181818181818187,4.0,0.0,3.0,30.0,3.0,1761.0,6.0
PIT,2009102504,True,31.0,7.0,0.0,4.5,20.0,3.0,1382.0,25.0
KC,2009102503,True,34.91666666666667,3.0,0.0,3.0,31.0,4.0,1635.0,7.0
HOU,2009102502,True,35.0,6.0,5.0,2.0,26.0,2.0,1825.0,24.0
CLE,2009102501,True,33.125,3.0,0.0,2.0,21.0,2.0,1446.0,3.0
OAK,2009102508,True,15.875,6.0,0.0,4.0,19.0,3.0,,0.0
CAR,2009102507,True,19.461538461538467,6.0,5.0,4.0,25.0,2.0,2064.0,9.0
MIA,2009102510,True,28.818181818181813,5.0,0.0,2.5,30.0,2.0,1618.0,34.0
DAL,2009102509,True,30.375,10.0,5.0,2.0,25.0,2.0,1732.0,36.0
CIN,2009102500,True,26.400000000000006,9.0,9.0,3.0,45.0,0.0,2182.0,45.0
NYG,2009102511,True,23.769230769230774,8.0,0.0,2.0,25.0,3.0,1816.0,17.0
WAS,2009102600,True,30.15384615384616,7.0,2.0,3.0,19.0,6.0,1903.0,17.0
BAL,2009110100,True,37.1,9.0,4.5,2.0,34.0,2.0,2017.0,30.0
BUF,2009110101,True,31.0,3.0,4.0,4.0,20.0,2.0,1252.0,10.0
CHI,2009110102,True,35.42857142857143,6.0,0.0,4.0,35.0,4.0,2222.0,29.0
DAL,2009110103,True,23.33333333333333,8.0,1.5,3.0,29.0,2.0,2085.0,37.0
DET,2009110104,True,20.0,5.0,0.0,4.0,33.0,2.0,1920.0,8.0
IND,2009110106,True,23.545454545454547,8.0,5.0,2.0,21.0,3.0,2014.0,18.0
PHI,2009110111,True,35.33333333333333,9.0,7.0,3.0,23.0,2.0,1458.0,40.0
NYJ,2009110107,True,34.14285714285714,5.0,1.0,3.0,40.0,2.0,2046.0,25.0
SD,2009110108,True,24.888888888888886,7.0,8.0,2.0,30.0,1.0,1829.0,24.0
TEN,2009110109,True,25.599999999999994,4.0,7.0,4.0,47.0,0.0,2383.0,30.0
ARI,2009110110,True,25.75,6.0,3.5,4.0,17.0,2.0,1616.0,21.0
GB,2009110105,True,26.545454545454547,5.0,4.0,3.0,19.0,6.0,1920.0,26.0
NO,2009110200,True,22.0,9.0,7.0,3.0,34.0,2.0,1996.0,34.0
ATL,2009110800,True,30.57142857142857,3.0,6.0,2.5,24.0,3.0,1588.0,30.0
CHI,2009110801,True,20.400000000000006,10.0,3.0,5.5,12.0,4.0,1604.0,21.0
CIN,2009110802,True,20.0,7.0,5.0,3.0,39.0,1.0,2392.0,17.0
IND,2009110803,True,28.85714285714286,4.0,6.0,3.0,18.0,2.0,1509.0,20.0
JAC,2009110804,True,25.818181818181813,6.0,4.5,3.0,39.0,1.0,2175.0,24.0
NE,2009110805,True,23.700000000000003,5.0,4.0,4.5,24.0,2.0,1733.0,27.0
TB,2009110806,True,32.36363636363636,5.0,0.0,3.0,25.0,1.0,1483.0,36.0
NO,2009110807,True,18.0,5.0,5.0,4.0,22.0,1.0,1654.0,29.0
SEA,2009110808,True,34.0,3.0,4.5,3.0,18.0,1.0,1842.0,31.0
NYG,2009110809,True,23.22222222222223,3.0,5.0,5.0,29.0,5.0,2267.0,20.0
SF,2009110810,True,28.33333333333333,6.0,4.0,4.5,20.0,4.0,2030.0,27.0
PHI,2009110811,True,21.444444444444443,7.0,0.5,3.0,23.0,4.0,1696.0,16.0
DEN,2009110900,True,22.799999999999997,3.0,3.0,1.5,14.0,2.0,1617.0,9.0
SF,2009111200,True,23.66666666666667,4.0,5.0,2.5,28.0,2.0,1893.0,10.0
CAR,2009111500,True,17.714285714285708,8.0,7.0,3.0,33.0,0.0,1687.0,28.0
WAS,2009111507,True,23.85714285714286,9.0,5.0,3.0,40.0,3.0,2143.0,27.0
